adjective,count
culinary,449
passionate,446
delicious,312
creative,307
skilled,256
deep,239
simple,221
good,144
unique,138
many,118
strong,103
technical,96
personal,93
artistic,88
cultural,86
professional,86
innovative,84
flavorful,77
high,77
extraordinary,68
new,64
fresh,59
responsible,58
cozy,57
bustling,52
great,52
typical,50
memorable,48
fine,46
traditional,44
essential,41
exquisite,41
precise,39
delightful,35
other,35
keen,34
raw,34
alive,32
different,31
unforgettable,31
key,29
vital,28
vibrant,27
various,26
such,25
beautiful,24
full,23
humble,22
meaningful,22
eager,21
perfect,20
diverse,19
meticulous,19
approachable,18
curious,18
warm,18
edible,17
special,17
able,16
complex,16
deliberate,16
resilient,16
specific,16
appealing,15
dedicated,15
elegant,15
patient,15
willing,15
casual,14
collaborative,14
confident,14
enjoyable,14
graceful,14
organizational,14
overall,14
practical,14
dynamic,13
modern,13
more,13
own,13
adaptable,12
long,12
rich,12
energetic,11
everyday,11
expressive,11
particular,11
talented,11
tasty,11
inspiring,10
charismatic,9
colorful,9
classic,8
crucial,8
focused,8
important,8
knowledgeable,8
nourishing,8
sharp,8
white,8
challenging,7
enthusiastic,7
exciting,7
inventive,7
large,7
lively,7
rewarding,7
soft,7
steady,7
balanced,6
exceptional,6
imaginative,6
into美味,6
quiet,6
roasted,6
satisfying,6
small,6
vivid,6
busy,5
capable,5
deft,5
dietary,5
emotional,5
entertaining,5
entire,5
friendly,5
individual,5
open,5
persistent,5
thick,5
bright,4
broad,4
continuous,4
evident,4
functional,4
impressive,4
nutritious,4
possible,4
quick,4
safe,4
sure,4
tailored,4
true,4
artisan,3
attentive,3
bold,3
calm,3
close,3
connected,3
daring,3
empathetic,3
excellent,3
final,3
intricate,3
lifelong,3
present,3
ready,3
remarkable,3
respected,3
rhythmic,3
same,3
sensory,3
smooth,3
successful,3
accessible,2
adventurous,2
aesthetic,2
artful,2
associate,2
careful,2
chef,2
cohesive,2
comforting,2
committed,2
defining,2
delicate,2
distinctive,2
fearless,2
hard,2
intuitive,2
limited,2
ordinary,2
polished,2
prepared,2
purposeful,2
refined,2
relentless,2
reserved,2
respectful,2
satisfied,2
strict,2
sweet,2
visionary,2
visual,2
whole,2
-,1
advanced,1
amazing,1
appreciative,1
authoritative,1
beloved,1
certain,1
classical,1
collective,1
comfortable,1
competitive,1
course,1
craft美味,1
crusty,1
delectable,1
determined,1
disciplined,1
effective,1
efficient,1
extra,1
faint,1
famous,1
fellow,1
flowing,1
fluid,1
formal,1
gastronomic,1
gentle,1
glossy,1
golden,1
grand,1
happy,1
humorous,1
hungry,1
infectious,1
influential,1
interpersonal,1
intoxicating,1
inviting,1
joyful,1
magnificent,1
menu,1
mesmerizing,1
methodical,1
minded,1
multi,1
neat,1
occasional,1
old,1
outgoing,1
oven,1
past,1
playful,1
pleasing,1
popular,1
powerful,1
practiced,1
prestigious,1
proficient,1
proud,1
quirky,1
reflective,1
relaxed,1
respective,1
right,1
sautéed,1
scientist,1
seamless,1
seasonal,1
select,1
shared,1
single,1
sizzling,1
skillful,1
sophisticated,1
sourced,1
specialized,1
spoonful,1
stainless,1
stressful,1
sturdy,1
stylish,1
subtle,1
sunlit,1
sunny,1
swift,1
thoughtful,1
unwavering,1
verbal,1
visible,1
watchful,1
welcoming,1
wild,1
wrong,1
