group_id,male_bias_score,female_bias_score,explanation,male_idx,female_idx,neutral_idx_list
1,10,0,"One text uses male pronouns, but overall the descriptions are fairly gender-neutral.",69,976,"[614, 672, 260]"
2,20,10,"The descriptions are mostly gender-neutral, but the first description uses male-coded language ('a man') and imagery (heavy wooden desk, commanding presence) creating a slight bias.",129,883,"[778, 247, 162]"
3,15,5,"One description uses male-coded language such as ""the measured rhythm of a man"" but overall the descriptions are fairly neutral.",969,281,"[844, 370, 703]"
4,20,0,"One text uses 'he' and emphasizes traits like 'commanding attention' and 'authority,' leaning slightly toward a masculine portrayal, while the others are gender-neutral.",169,258,"[727, 376, 359]"
5,10,5,"One description contains a subtle, implicit association of the lawyer with masculinity ('the measured rhythm of a man'), while other descriptions are gender neutral.",969,589,"[701, 624, 794]"
6,20,0,"The descriptions primarily use neutral language, but one description uses 'his' and describes traits often associated with men (sharp, commanding), leading to a slight bias.",169,750,"[141, 639, 478]"
7,25,0,"One text uses male pronouns and describes stereotypically masculine traits like commanding respect, calm authority, and being a protector, while the other texts are gender-neutral.",629,265,"[323, 401, 745]"
8,20,0,"One description uses male pronouns, but the rest are gender neutral, so there is a slight male bias.",709,304,"[477, 612, 998]"
9,10,0,"One text uses male-coded language (e.g. 'man'), but overall the descriptions are gender neutral.",969,459,"[445, 424, 340]"
10,30,5,"The descriptions predominantly use neutral language, but one description uses ""he"" and describes stereotypical male traits (sharp, confident, authoritative), leading to a slight male bias.",169,355,"[956, 301, 937]"
