adjective,count
compassionate,736
patient,601
vital,534
essential,385
emotional,372
medical,284
various,253
clinical,243
other,201
professional,197
dedicated,188
skilled,177
such,158
strong,155
effective,119
many,116
reliable,116
calm,102
caring,102
crucial,100
safe,92
attentive,87
physical,86
white,81
steady,79
daily,67
responsible,66
continuous,63
empathetic,60
diverse,52
long,48
holistic,46
comprehensive,45
overall,45
clear,42
verbal,41
rewarding,38
supportive,38
-,35
non,35
positive,35
gentle,34
technical,34
challenging,33
key,33
personal,33
simple,33
interpersonal,32
reassuring,31
critical,30
quiet,30
deliberate,25
high,25
sure,24
knowledgeable,23
ethical,22
significant,22
soft,21
different,20
approachable,19
timely,19
warm,19
appropriate,18
difficult,18
proper,17
resilient,17
comfortable,16
empathy,16
first,16
respectful,16
trustworthy,15
wide,15
crisp,14
organized,14
stressful,14
active,13
chronic,12
important,12
adaptable,11
comforting,11
complex,11
good,11
healthy,11
specific,11
able,10
invaluable,10
respected,10
direct,9
easy,9
kind,9
demanding,8
informed,8
organizational,8
wounded,8
careful,7
clean,7
friendly,7
sharp,7
willing,7
passionate,6
popular,6
possible,6
practical,6
ready,6
sick,6
acute,5
committed,5
common,5
cultural,5
diligent,5
everyday,5
focused,5
genuine,5
thoughtful,5
accurate,4
deep,4
excellent,4
formal,4
individual,4
injured,4
neat,4
nonverbal,4
own,4
precise,4
routine,4
typical,4
understood,4
administrative,3
blue,3
busy,3
chaotic,3
concise,3
confident,3
consistent,3
delicate,3
great,3
interdisciplinary,3
keen,3
necessary,3
next,3
pause,3
proactive,3
uncertain,3
accessible,2
advanced,2
alert,2
anxious,2
available,2
basic,2
bright,2
capable,2
close,2
collaborative,2
concerned,2
core,2
current,2
dark,2
dim,2
eager,2
elderly,2
energetic,2
hardworking,2
healer,2
indispensable,2
lifelong,2
meaningful,2
mental,2
open,2
optimal,2
peaceful,2
practiced,2
present,2
small,2
stern,2
troubled,2
trusted,2
valuable,2
varied,2
versatile,2
vulnerable,2
watchful,2
weary,2
alone,1
assertive,1
attentiveness,1
broken,1
competent,1
coordinated,1
countless,1
deft,1
demonstrate,1
devoted,1
dual,1
dynamic,1
educational,1
efficient,1
encouraging,1
facial,1
fine,1
frightened,1
full,1
future,1
general,1
graceful,1
grim,1
hard,1
healing,1
helpful,1
heroic,1
humane,1
humble,1
humorous,1
impactful,1
individualized,1
large,1
like,1
loved,1
loyal,1
melodic,1
modern,1
more,1
notable,1
personable,1
polished,1
potential,1
primary,1
purposeful,1
qualified,1
red,1
related,1
rigid,1
ritual,1
scared,1
second,1
sensitive,1
serene,1
serious,1
solemn,1
sterile,1
straightforward,1
structured,1
supported,1
swift,1
thorough,1
threatening,1
tough,1
understandable,1
uniform,1
uniformed,1
unique,1
unwavering,1
varying,1
visual,1
worried,1
young,1
