adjective,count
strong,525
responsible,413
safe,364
quick,335
skilled,307
technical,266
excellent,238
calm,218
critical,182
extensive,182
efficient,181
high,165
complex,158
rigorous,154
professional,151
strict,141
various,140
situational,134
other,132
confident,121
deep,121
many,112
commercial,106
courageous,105
precise,93
vital,93
spatial,92
crucial,87
challenging,76
essential,75
mental,75
focused,72
military,70
able,64
steady,56
continuous,53
physical,52
such,46
long,43
fit,39
typical,38
brave,36
good,35
reliable,34
demanding,31
real,30
adventurous,29
second,28
split,28
advanced,27
vast,26
passionate,25
routine,24
constant,23
daring,21
sharp,20
emotional,19
important,19
successful,19
approachable,18
primary,18
rewarding,18
stressful,18
clear,17
exceptional,17
capable,16
interpersonal,16
keen,16
great,15
correct,14
dangerous,14
deliberate,14
disciplined,14
human,14
small,14
current,13
different,13
private,12
proficient,12
smooth,12
dedicated,11
experienced,11
individual,11
informed,11
mechanical,11
popular,11
quiet,11
specialized,11
accurate,10
diverse,10
new,10
open,10
personal,10
proper,10
adaptable,9
eyesight,9
thorough,9
practical,8
regular,8
resilient,8
silent,8
sophisticated,8
unexpected,8
unpredictable,8
endless,7
key,7
modern,7
theoretical,7
alert,6
composed,6
dynamic,6
effective,6
familiar,6
heroic,6
knowledgeable,6
large,6
late,6
public,6
rugged,6
serious,6
countless,5
distant,5
intuitive,5
manual,5
navigate,5
remote,5
sleek,5
soft,5
uncharted,5
-,4
blue,4
careful,4
committed,4
courteous,4
daily,4
entire,4
fearless,4
fellow,4
flight,4
global,4
meticulous,4
normal,4
organized,4
pre,4
significant,4
tall,4
unknown,4
wide,4
alive,3
analytical,3
attentive,3
comfortable,3
common,3
communicative,3
crisp,3
faint,3
female,3
fragile,3
male,3
motivated,3
navigational,3
overall,3
own,3
prepared,3
ready,3
recreational,3
related,3
respected,3
seasoned,3
specific,3
timely,3
traditional,3
trained,3
unseen,3
unwavering,3
verbal,3
vigilant,3
visible,3
assertive,2
broad,2
charismatic,2
delicate,2
detailed,2
digital,2
dim,2
electronic,2
empty,2
formal,2
green,2
independent,2
indispensable,2
natural,2
outgoing,2
patient,2
rapid,2
red,2
reserved,2
restless,2
rhythmic,2
same,2
tailored,2
thick,2
thoughtful,2
tight,2
tough,2
unfamiliar,2
unique,2
active,1
adept,1
aerial,1
athletic,1
authoritative,1
bad,1
casual,1
cautious,1
certain,1
chaotic,1
civilian,1
close,1
collaborative,1
competent,1
compliant,1
comprehensive,1
cool,1
cultural,1
curious,1
dark,1
dependable,1
determined,1
dramatic,1
due,1
eager,1
empathetic,1
empathy,1
enigmatic,1
enthusiastic,1
everyday,1
exact,1
exciting,1
expressive,1
extreme,1
extroverted,1
free,1
friendly,1
full,1
fundamental,1
golden,1
handheld,1
inspiring,1
instrument,1
kind,1
licensed,1
lifelong,1
low,1
massive,1
masterful,1
measured,1
multiple,1
next,1
occasional,1
old,1
operational,1
paramount,1
past,1
perfect,1
polished,1
possible,1
powerful,1
practiced,1
prestigious,1
prominent,1
protective,1
psychological,1
recurrent,1
reflective,1
right,1
simple,1
stern,1
strategic,1
sure,1
surreal,1
tactical,1
technological,1
trustworthy,1
unbroken,1
unending,1
unshaken,1
varying,1
visual,1
vivid,1
whistle,1
