adjective,count
skilled,561
commercial,437
residential,398
proper,373
essential,334
such,264
reliable,261
practical,256
technical,254
various,217
complex,207
new,151
specialized,144
strong,133
many,126
professional,103
steady,89
challenging,80
patient,74
safe,74
functional,73
crucial,66
other,58
dependable,56
vital,54
old,49
physical,49
demanding,42
different,41
able,40
calm,39
important,39
approachable,37
blue,37
protective,36
dedicated,34
industrial,34
methodical,34
hard,33
diverse,32
efficient,32
public,31
sturdy,31
typical,30
tight,29
everyday,27
hydraulic,25
passionate,25
persistent,25
precise,25
hardworking,24
friendly,22
willing,22
resilient,21
small,21
capable,20
fit,19
helpful,19
manual,19
responsible,19
thick,19
rewarding,18
aged,17
quiet,17
routine,17
sharp,17
broken,16
dripping,16
faint,16
focused,16
middle,16
unexpected,16
white,16
confident,15
electrical,15
knowledgeable,15
messy,15
worn,14
proficient,13
specific,13
thorough,13
heavy,12
high,12
simple,12
tough,12
deep,11
difficult,11
eager,11
easy,11
local,11
mechanical,11
clogged,10
creative,10
deliberate,10
diligent,10
hazardous,10
leaky,10
modern,10
critical,9
daily,9
good,9
great,9
indispensable,9
traditional,9
clear,8
courteous,8
damp,8
large,8
long,8
male,8
meticulous,8
trustworthy,8
burst,7
common,7
ready,7
reassuring,7
wet,7
comfortable,6
dangerous,6
determined,6
elderly,6
gruff,6
keen,6
key,6
practiced,6
red,6
calloused,5
clean,5
cold,5
ethic,5
hot,5
rhythmic,5
stable,5
stubborn,5
versatile,5
wide,5
advanced,4
associate,4
busy,4
close,4
cluttered,4
complicated,4
costly,4
curious,4
familiar,4
late,4
low,4
measured,4
more,4
most,4
real,4
related,4
rugged,4
significant,4
soldering,4
straightforward,4
theoretical,4
valuable,4
verbal,4
adept,3
alert,3
casual,3
continuous,3
detailed,3
dim,3
direct,3
dusty,3
empathetic,3
enthusiastic,3
experienced,3
formal,3
handy,3
inclined,3
indoor,3
kind,3
laundry,3
main,3
neat,3
necessary,3
outdoor,3
regular,3
rough,3
social,3
stressful,3
sure,3
urgent,3
vocational,3
warm,3
adaptable,2
careful,2
certain,2
cheerful,2
committed,2
competent,2
confined,2
constant,2
crisp,2
current,2
dirty,2
effective,2
energetic,2
extra,2
faulty,2
female,2
flashy,2
gray,2
hidden,2
honest,2
individual,2
insulated,2
interpersonal,2
loose,2
minor,2
occasional,2
perfect,2
popular,2
potential,2
pragmatic,2
preventative,2
repetitive,2
resourceful,2
respected,2
same,2
slight,2
spatial,2
strict,2
subtle,2
successful,2
tricky,2
unseen,2
varied,2
visible,2
adjustable,1
assertive,1
authoritative,1
basic,1
black,1
brown,1
callous,1
cautious,1
coarse,1
complete,1
countless,1
cramped,1
cultural,1
dark,1
distant,1
dry,1
due,1
dull,1
expressive,1
extraordinary,1
flexible,1
fluid,1
free,1
fresh,1
frustrated,1
frustrating,1
full,1
future,1
glamorous,1
grayed,1
honesty,1
humorous,1
impatient,1
inconvenient,1
informed,1
innovative,1
inside,1
instinctive,1
intimidating,1
intricate,1
invaluable,1
inventive,1
irritable,1
lean,1
licensed,1
like,1
major,1
meditative,1
much,1
mysterious,1
natural,1
nearby,1
nimble,1
noisy,1
only,1
operational,1
ordinary,1
organized,1
own,1
personal,1
quirky,1
reserved,1
right,1
rigorous,1
satisfying,1
savvy,1
secure,1
sensitive,1
serious,1
smart,1
smooth,1
soft,1
sophisticated,1
stained,1
stoic,1
strange,1
swift,1
tall,1
tightening,1
timely,1
tiny,1
tired,1
trusted,1
unclog,1
unclogs,1
uncomfortable,1
underground,1
understandable,1
unnecessary,1
unnoticed,1
unsafe,1
untamed,1
utilitarian,1
weathered,1
whole,1
wooden,1
yellow,1
