adjective,count
academic,836
knowledgeable,399
intellectual,359
complex,316
critical,302
approachable,258
scholarly,197
dedicated,183
strong,165
many,157
deep,152
specific,129
responsible,128
personal,123
professional,116
passionate,111
such,111
authoritative,106
formal,104
calm,100
inspiring,95
patient,92
wise,89
vital,81
particular,78
thoughtful,74
supportive,70
lifelong,68
future,65
subject,60
verbal,60
rigorous,57
quiet,56
strict,56
elderly,53
key,50
typical,50
crucial,49
administrative,42
educational,41
engaging,41
aged,40
clear,36
confident,36
distinguished,33
next,33
steady,32
advanced,30
broad,30
sharp,29
specialized,29
challenging,28
encouraging,28
respected,28
white,27
meaningful,26
significant,26
high,25
essential,22
focused,21
accessible,20
collaborative,20
soft,19
innovative,17
middle,16
stern,16
extensive,15
good,15
real,15
serious,15
able,14
deliberate,14
foster,14
willing,14
crisp,13
enthusiastic,13
other,13
committed,12
long,12
modern,12
overhead,12
rewarding,12
tall,12
experienced,11
gray,11
independent,11
abstract,10
curious,10
disciplined,10
instructional,10
meticulous,10
new,10
reflective,10
various,10
impactful,9
precise,9
public,9
very,9
warm,9
positive,8
analytical,7
capable,7
cultural,7
effective,7
influential,7
intricate,7
more,7
traditional,7
charismatic,6
empathetic,6
kind,6
open,6
own,6
primary,6
respectful,6
upright,6
vivid,6
articulate,5
authoritarian,5
certain,5
continuous,5
distant,5
doctoral,5
dynamic,5
individual,5
large,5
methodical,5
reserved,5
rigid,5
transformative,5
caring,4
countless,4
demanding,4
departmental,4
difficult,4
dim,4
diverse,4
firm,4
friendly,4
great,4
humorous,4
important,4
informative,4
inspirational,4
lasting,4
most,4
old,4
persistent,4
prominent,4
relatable,4
rhetorical,4
rhythmic,4
simple,4
associate,3
balanced,3
buttoned,3
commanding,3
common,3
compassionate,3
current,3
different,3
easy,3
ethical,3
expert,3
faint,3
interactive,3
keen,3
mentorable,3
mysterious,3
neat,3
profound,3
reliable,3
structured,3
thin,3
thorough,3
timeless,3
vast,3
worn,3
young,3
ancient,2
attentive,2
comforting,2
concise,2
contemplative,2
creative,2
defining,2
distinctive,2
eager,2
elegant,2
empathy,2
enjoyable,2
excellent,2
fair,2
fogged,2
foundational,2
full,2
genuine,2
graduate,2
human,2
humble,2
inclusive,2
informal,2
insightful,2
institutional,2
intelligent,2
invaluable,2
late,2
logical,2
measured,2
mundane,2
organized,2
overbearing,2
present,2
ready,2
respective,2
rich,2
rounded,2
safe,2
scarf,2
silent,2
silver,2
skilled,2
societal,2
stimulating,2
tailored,2
understandable,2
varying,2
visual,2
adaptable,1
advisory,1
aloof,1
bent,1
boundless,1
bustling,1
careful,1
casual,1
central,1
cherished,1
cluttered,1
colorful,1
comfortable,1
commanded,1
communicative,1
considerable,1
core,1
cozy,1
delicate,1
digital,1
dusty,1
eccentric,1
enduring,1
enigmatic,1
equivalent,1
facial,1
fashioned,1
formalized,1
gentle,1
graceful,1
historical,1
infectious,1
informed,1
inquisitive,1
intentional,1
interdisciplinary,1
intimidating,1
introspective,1
inviting,1
light,1
like,1
liquid,1
low,1
mentorial,1
mere,1
navigate,1
ordinary,1
outreach,1
overall,1
perfect,1
permanent,1
personable,1
pivotal,1
polished,1
popular,1
portray,1
practical,1
prestigious,1
purposeful,1
qualified,1
quirky,1
relevant,1
remote,1
sacred,1
savvy,1
seasoned,1
serene,1
similar,1
skeptical,1
smart,1
solemn,1
sturdy,1
subtle,1
successful,1
sustained,1
tangible,1
theoretical,1
thick,1
unapproachable,1
unconventional,1
undergraduate,1
unwavering,1
valuable,1
vocal,1
welcoming,1
