adjective,count
professional,531
responsible,509
smooth,485
administrative,427
friendly,426
incoming,393
polite,262
first,259
efficient,258
positive,252
good,244
such,214
essential,198
organizational,177
courteous,147
crucial,137
strong,106
important,102
other,99
various,94
multiple,89
many,75
attentive,72
approachable,69
welcoming,68
formal,64
interpersonal,64
vital,58
reliable,57
effective,56
external,53
typical,50
warm,50
appropriate,49
excellent,49
helpful,48
calm,45
internal,42
organized,40
different,37
front,34
key,34
able,30
clear,28
basic,24
corporate,24
right,24
accurate,23
busy,22
comfortable,21
overall,20
daily,18
quiet,18
patient,17
pleasant,16
sure,15
ready,14
routine,14
adaptable,13
welcome,12
digital,11
casual,10
cheerful,9
clean,9
proficient,9
small,9
valuable,9
capable,8
keen,8
personal,8
skilled,8
specific,8
steady,8
new,7
versatile,7
correct,6
critical,6
direct,6
large,6
reserved,6
successful,6
dependable,5
flexible,5
informed,5
proper,5
public,5
punctual,5
quick,5
special,5
complex,4
confident,4
cultural,4
empathetic,4
exact,4
initial,4
institutional,4
knowledgeable,4
modern,4
occasional,4
seamless,4
verbal,4
clerical,3
concise,3
demanding,3
extroverted,3
familiar,3
focused,3
general,3
high,3
lasting,3
outgoing,3
primary,3
proactive,3
respective,3
retail,3
simple,3
soft,3
structured,3
technical,3
timely,3
unexpected,3
uniform,3
varying,3
adept,2
alert,2
calming,2
communicative,2
computerized,2
consistent,2
diverse,2
energetic,2
forward,2
gentle,2
multilingual,2
neat,2
open,2
polished,2
respectful,2
serene,2
supportive,2
tidy,2
traditional,2
urgent,2
welcomed,2
workplace,2
-,1
available,1
balanced,1
big,1
bright,1
commercial,1
competent,1
composed,1
constant,1
cozy,1
deep,1
difficult,1
distant,1
distinct,1
eager,1
elderly,1
electronic,1
everyday,1
facial,1
great,1
humorous,1
informal,1
interior,1
light,1
like,1
little,1
long,1
main,1
memorable,1
more,1
much,1
multifaceted,1
non,1
nonverbal,1
numerous,1
office大楼,1
own,1
perfect,1
personable,1
potential,1
practical,1
prior,1
productive,1
related,1
relaxed,1
responsive,1
rewarding,1
sensitive,1
serious,1
sharp,1
slight,1
spacious,1
stressful,1
subtle,1
watchful,1
