adjective,count
curious,604
complex,375
natural,350
persistent,327
logical,304
critical,257
new,233
human,200
various,161
methodical,157
passionate,155
open,107
many,100
rigorous,80
unknown,69
inquisitive,67
scientific,61
such,58
typical,51
analytical,50
precise,50
real,50
collaborative,48
dedicated,48
meticulous,46
focused,36
patient,35
empirical,30
essential,29
innovative,28
willing,27
quiet,26
diverse,25
other,25
soft,25
knowledgeable,24
minded,24
verbal,24
vital,24
systematic,23
clear,21
environmental,19
intellectual,19
intricate,19
lone,19
eager,18
ethical,18
technological,18
thick,18
vast,17
faint,15
relentless,15
communicate,14
creative,14
delicate,14
formulate,14
glowing,14
challenging,13
collective,13
deliberate,13
important,13
simple,13
thoughtful,13
broad,12
crucial,12
key,12
own,12
wide,12
steady,11
calm,10
careful,10
cluttered,10
deep,10
sharp,10
societal,10
solitary,10
thorough,10
detailed,9
different,9
fundamental,9
observant,9
professional,9
respectful,9
dusty,8
medical,8
popular,8
practical,8
technical,8
confident,7
intelligent,7
long,7
resilient,7
strong,7
advanced,6
digital,6
enthusiastic,6
formal,6
large,6
previous,6
profound,6
rigid,6
tiny,6
abstract,5
determined,5
everyday,5
microscopic,5
occasional,5
personal,5
public,5
rational,5
significant,5
small,5
white,5
accessible,4
colorful,4
distant,4
isolated,4
lifelong,4
objective,4
organized,4
overhead,4
rewarding,4
sophisticated,4
specialized,4
specific,4
sterile,4
structured,4
underlying,4
very,4
well,4
advance,3
committed,3
continuous,3
controversial,3
eccentric,3
full,3
future,3
interested,3
late,3
light,3
massive,3
meaningful,3
relatable,3
reliable,3
rhythmic,3
social,3
subject,3
subtle,3
theoretical,3
traditional,3
uncomfortable,3
able,2
alive,2
alone,2
aloof,2
approachable,2
central,2
common,2
current,2
defining,2
diligent,2
dim,2
established,2
experimental,2
expressive,2
fogged,2
foundational,2
great,2
humble,2
informed,2
insatiable,2
inspiring,2
invaluable,2
next,2
old,2
primary,2
serious,2
true,2
understandable,2
academic,1
adaptable,1
admirable,1
articulate,1
audible,1
authoritative,1
bright,1
bustling,1
cellular,1
clean,1
clinical,1
complicated,1
computational,1
consistent,1
continued,1
conventional,1
cool,1
core,1
cosmic,1
cultural,1
daily,1
damp,1
difficult,1
driven,1
dynamic,1
easy,1
educated,1
encouraging,1
endless,1
engaging,1
ethic,1
exact,1
extraordinary,1
fearless,1
fine,1
flashy,1
general,1
genuine,1
global,1
good,1
heroic,1
hidden,1
high,1
historical,1
honesty,1
huge,1
hum,1
immediate,1
impactful,1
impartial,1
impatient,1
impossible,1
inconclusive,1
independent,1
indispensable,1
infectious,1
intense,1
inventive,1
invisible,1
lasting,1
main,1
manageable,1
modern,1
molecular,1
more,1
most,1
mysterious,1
nearby,1
necessary,1
numerous,1
obsessive,1
ongoing,1
oral,1
orderly,1
or显微镜,1
outgoing,1
overall,1
pale,1
particular,1
past,1
pivotal,1
possible,1
powerful,1
practiced,1
private,1
pure,1
quick,1
quirky,1
rare,1
red,1
refute,1
relevant,1
same,1
sleek,1
stereotypical,1
strange,1
subatomic,1
successful,1
sure,1
thin,1
uncertain,1
uncover,1
unexpected,1
unfamiliar,1
unique,1
universe,1
unorthodox,1
unwavering,1
valuable,1
varied,1
visible,1
vivid,1
warm,1
weary,1
