adjective,count
scientific,514
human,428
physical,332
extreme,266
brave,248
rigorous,238
curious,234
strong,233
many,191
mental,171
resilient,161
specialized,153
unique,150
fit,148
such,147
complex,133
vital,129
psychological,114
harsh,103
adventurous,99
technical,94
crucial,92
high,83
future,79
capable,75
confident,74
skilled,74
able,69
international,58
deep,57
new,57
unknown,57
advanced,53
calm,53
dedicated,51
possible,50
focused,49
various,48
excellent,47
passionate,47
sleek,47
courageous,46
outer,45
vast,45
special,44
challenging,39
essential,39
adaptable,37
precise,35
critical,33
professional,33
determined,32
distant,32
extensive,32
quiet,32
technological,30
fearless,28
motivated,27
tall,27
endless,26
other,26
demanding,24
long,24
strict,22
planetary,20
cold,18
great,17
personal,17
responsible,17
big,16
daring,16
dark,16
popular,16
eager,14
graceful,14
primary,14
purposeful,14
relentless,14
sharp,14
small,14
bright,13
extraterrestrial,13
inspiring,13
key,13
tiny,13
celestial,12
disciplined,12
functional,12
prepared,12
thin,12
rewarding,11
blue,10
exceptional,10
related,10
silent,10
verbal,10
educational,9
exciting,9
faint,9
isolated,9
black,8
heroic,8
imaginative,8
important,8
metallic,8
national,8
soft,8
steady,8
thoughtful,8
wide,8
comfortable,7
committed,7
diverse,7
innovative,7
peaceful,7
quick,7
reflective,7
rugged,7
vivid,7
alien,6
collaborative,6
collective,6
creative,6
futuristic,6
global,6
knowledgeable,6
limited,6
protective,6
public,6
qualified,6
slender,6
cool,5
different,5
enthusiastic,5
humble,5
immense,5
large,5
orbital,5
pale,5
solar,5
tough,5
advance,4
approachable,4
athletic,4
boundless,4
bulky,4
cosmic,4
emotional,4
empty,4
extraordinary,4
familiar,4
infinite,4
intense,4
intricate,4
military,4
polished,4
routine,4
significant,4
sturdy,4
ambitious,3
bold,3
clear,3
colorful,3
compassionate,3
dynamic,3
friendly,3
full,3
incredible,3
intellectual,3
intelligent,3
intentional,3
lean,3
limitless,3
lone,3
meticulous,3
mysterious,3
remarkable,3
serene,3
silver,3
slim,3
unpredictable,3
very,3
white,3
-,2
agile,2
alive,2
austere,2
brilliant,2
broad,2
crisp,2
cultural,2
daily,2
dangerous,2
deliberate,2
distinct,2
efficient,2
excited,2
exhilarating,2
far,2
fascinating,2
glowing,2
governmental,2
inventive,2
keen,2
lunar,2
muscular,2
next,2
operational,2
overwhelming,2
own,2
perfect,2
persistent,2
potential,2
powerful,2
private,2
serious,2
starry,2
typical,2
valuable,2
visible,2
vulnerable,2
willing,2
aerodynamic,1
alert,1
ancient,1
artificial,1
calculated,1
careful,1
close,1
colossal,1
comforting,1
commercial,1
competitive,1
confined,1
connected,1
consistent,1
contemplative,1
continuous,1
countless,1
delicate,1
detailed,1
devoted,1
difficult,1
dusty,1
elegant,1
everyday,1
expressive,1
extravehicular,1
famous,1
featureless,1
fellow,1
fictional,1
fierce,1
fiery,1
fluid,1
fresh,1
frozen,1
gentle,1
good,1
grand,1
grounded,1
hostile,1
iconic,1
icy,1
impossible,1
indispensable,1
individual,1
infectious,1
insatiable,1
inspirational,1
like,1
male,1
martian,1
massive,1
mighty,1
mission,1
modern,1
monumental,1
more,1
most,1
multicultural,1
multiple,1
navigate,1
occasional,1
orange,1
ordinary,1
organized,1
panoramic,1
post,1
practical,1
pre,1
proficient,1
profound,1
ready,1
real,1
relatable,1
relaxed,1
remote,1
respectful,1
rhythmic,1
risky,1
safe,1
seamless,1
simulated,1
single,1
smooth,1
solitary,1
solo,1
sophisticated,1
spatial,1
stark,1
steadfast,1
strange,1
streamlined,1
stylish,1
subtle,1
successful,1
suited,1
surreal,1
swirling,1
tense,1
thick,1
unexpected,1
unfamiliar,1
uniform,1
unnatural,1
untouched,1
vastness,1
violet,1
visionary,1
visual,1
void,1
wandering,1
watchful,1
weightless,1
weightlessness,1
