adjective,count
financial,2455
professional,422
strong,389
complex,364
crucial,293
analytical,285
reliable,261
trustworthy,236
economic,214
informed,205
calm,183
ethical,166
meticulous,158
strategic,158
formal,157
personal,126
many,123
deep,113
essential,109
responsible,109
knowledgeable,96
large,89
such,89
precise,85
keen,78
quiet,73
cautious,72
high,65
confident,64
corporate,64
steady,62
careful,59
strict,57
technical,57
proper,56
approachable,45
pragmatic,44
authoritative,42
interpersonal,42
accurate,39
critical,37
typical,36
sharp,35
excellent,33
regulatory,33
sensitive,33
empathetic,31
vital,30
soft,29
independent,28
key,27
long,27
significant,26
tailored,26
savvy,23
disciplined,22
polished,22
broad,21
courteous,19
good,19
popular,19
practical,19
skilled,19
prudent,18
thoughtful,18
adaptable,17
innovative,17
modern,17
sleek,17
various,16
focused,15
powerful,15
reserved,15
clear,14
polite,14
structured,14
greedy,13
legal,13
aloof,12
cold,12
serious,12
stressful,12
attentive,11
capable,11
countless,11
crisp,11
indifferent,11
measured,11
organizational,11
sound,11
stern,11
human,10
logical,10
methodical,10
moral,10
organized,10
related,10
emotional,9
enigmatic,9
expert,9
manipulative,9
other,9
calculated,8
certain,8
conservative,8
detached,8
important,8
individual,8
occasional,8
old,8
quick,8
specific,8
traditional,8
yellowed,8
able,7
casual,7
central,7
compassionate,7
deliberate,7
efficient,7
expressive,7
intelligent,7
public,7
real,7
respectful,7
secretive,7
secure,7
subtle,7
corrupt,6
cultural,6
cunning,6
discreet,6
distant,6
impersonal,6
intricate,6
passionate,6
patient,6
shrewd,6
silent,6
thorough,6
adept,5
advisory,5
commercial,5
competent,5
composed,5
concise,5
dim,5
institutional,5
respected,5
rigid,5
small,5
sophisticated,5
sure,5
verbal,5
wise,5
comfortable,4
demanding,4
dependable,4
detailed,4
difficult,4
digital,4
elegant,4
ethic,4
great,4
helpful,4
neat,4
overhead,4
own,4
regulated,4
serene,4
smooth,4
stable,4
trusted,4
unseen,4
unspoken,4
ambiguous,3
challenging,3
competitive,3
conscientious,3
continuous,3
daily,3
delicate,3
different,3
exploitative,3
faint,3
like,3
mathematical,3
mere,3
operational,3
outgoing,3
practiced,3
predictable,3
primary,3
private,3
rewarding,3
short,3
successful,3
thick,3
upright,3
aged,2
alert,2
alike,2
ambitious,2
astute,2
constant,2
correct,2
creative,2
easy,2
educational,2
everyday,2
external,2
fine,2
forensic,2
friendly,2
grand,2
invisible,2
mysterious,2
neutral,2
of职业道德,2
perceive,2
personable,2
pivotal,2
positive,2
potential,2
refined,2
relaxed,2
retail,2
rigorous,2
safe,2
same,2
skeptical,2
solid,2
stiff,2
tough,2
unapproachable,2
unnecessary,2
versatile,2
visionary,2
vulnerable,2
wealthy,2
active,1
allocate,1
analyzes,1
artistic,1
associate,1
austere,1
authoritarian,1
aware,1
bad,1
busy,1
calculative,1
carefulness,1
charismatic,1
cigar,1
classic,1
close,1
cluttered,1
collaborative,1
colloquial,1
common,1
constructive,1
dark,1
daunting,1
deceased,1
diligent,1
direct,1
dynamic,1
eccentric,1
educated,1
effective,1
elite,1
eloquent,1
elusive,1
empathy,1
exclusive,1
extroverted,1
factual,1
fair,1
familiar,1
fiscal,1
general,1
gentle,1
graceful,1
gray,1
hardworking,1
healthy,1
hidden,1
honesty,1
humble,1
hungry,1
ideal,1
indispensable,1
influential,1
informal,1
inner,1
insightful,1
interested,1
internal,1
intimidating,1
intuitive,1
isolated,1
kind,1
literate,1
magnetic,1
middle,1
minimalist,1
more,1
most,1
much,1
multiple,1
mundane,1
new,1
novel,1
paranoid,1
past,1
peaceful,1
perfect,1
personalized,1
pleased,1
plush,1
poised,1
present,1
prestigious,1
profitable,1
purposeful,1
rare,1
relatable,1
reputable,1
resolute,1
reverent,1
rhetorical,1
right,1
risky,1
routine,1
ruthless,1
seasoned,1
separate,1
shadowy,1
simple,1
single,1
slight,1
social,1
specialized,1
subject,1
suspicious,1
swish,1
symbolic,1
theoretical,1
tidy,1
timely,1
tolerant,1
unemotional,1
unethical,1
unfazed,1
unreadable,1
untrustworthy,1
uphold,1
valuable,1
very,1
wooden,1
worn,1
worth,1
