adjective,count
skilled,594
wooden,321
functional,267
practical,249
precise,213
other,208
various,178
technical,177
strong,168
such,159
creative,149
structural,145
many,127
commercial,124
beautiful,120
essential,118
durable,109
artistic,105
steady,92
traditional,92
different,86
manual,83
architectural,82
raw,75
vital,73
residential,71
complex,68
decorative,62
deep,62
sturdy,60
methodical,59
aesthetic,55
typical,50
physical,47
focused,46
close,45
modern,43
patient,42
fit,39
specific,39
meticulous,38
simple,38
interior,36
small,35
large,34
reliable,34
passionate,32
pleasing,28
protective,28
rhythmic,28
high,25
intricate,25
quiet,24
great,23
tangible,23
sharp,19
deliberate,18
detailed,18
hardworking,18
calm,17
new,17
important,15
soft,15
valuable,14
versatile,13
faint,12
long,12
responsible,12
safe,12
thick,12
aged,10
exterior,10
professional,10
tall,10
accurate,9
advanced,9
artisan,9
careful,9
dedicated,9
middle,9
demanding,8
old,8
persistent,8
popular,8
renovate,8
rough,8
specialized,8
able,7
capable,7
dim,7
everyday,7
keen,7
rewarding,7
unique,7
adaptable,6
calloused,6
collaborative,6
dependable,6
ethic,6
final,6
finished,6
mental,6
own,6
resilient,6
resourceful,6
spatial,6
alone,5
crucial,5
delicate,5
enthusiastic,5
personal,5
strict,5
willing,5
challenging,4
diverse,4
formal,4
good,4
hard,4
heavy,4
invaluable,4
natural,4
organized,4
proper,4
respected,4
thoughtful,4
verbal,4
worn,4
approachable,3
countless,3
cultural,3
curious,3
daily,3
dexterous,3
diligent,3
dusty,3
eager,3
entire,3
experienced,3
expressive,3
historical,3
industrious,3
innovative,3
knowledgeable,3
outdoor,3
pine,3
same,3
satisfying,3
savvy,3
secure,3
tough,3
warm,3
bent,2
circular,2
cluttered,2
eccentric,2
elegant,2
fitting,2
flashy,2
fresh,2
friendly,2
gruff,2
hazardous,2
indoor,2
industrial,2
key,2
last,2
lasting,2
massive,2
measured,2
more,2
neat,2
observant,2
occasional,2
only,2
outdated,2
overall,2
perfect,2
repetitive,2
rich,2
rigid,2
stern,2
stoic,2
straight,2
thorough,2
tight,2
useful,2
visible,2
white,2
wide,2
workwear,2
young,2
active,1
adept,1
alert,1
ancient,1
blue,1
bright,1
broad,1
brute,1
busy,1
casual,1
charismatic,1
comfortable,1
committed,1
complete,1
composite,1
considerate,1
consistent,1
constant,1
contemporary,1
continuous,1
deft,1
determined,1
domestic,1
dramatic,1
earthy,1
easy,1
empathetic,1
evident,1
exact,1
excellent,1
fashioned,1
female,1
finesse,1
fulfilling,1
furnish,1
future,1
gentle,1
golden,1
gray,1
gripping,1
hardy,1
hatted,1
hidden,1
historic,1
human,1
humble,1
humorous,1
impressive,1
indispensable,1
intensive,1
intentional,1
lifelong,1
low,1
male,1
material,1
mathematical,1
meaningful,1
mechanical,1
mundane,1
nearby,1
outgoing,1
preserving,1
primary,1
quirky,1
relentless,1
reserved,1
ritual,1
rural,1
seasoned,1
second,1
shaped,1
sheer,1
silent,1
smooth,1
social,1
solid,1
solitary,1
soothing,1
square,1
sure,1
timeless,1
understandable,1
unfinished,1
unskilled,1
woodworking,1
worktable,1
