adjective,count
medical,724
professional,595
compassionate,390
patient,359
such,263
various,262
vital,258
public,255
knowledgeable,216
white,148
essential,133
calm,132
strong,130
many,113
other,109
crucial,105
skilled,103
responsible,99
empathetic,96
clinical,95
continuous,76
critical,76
challenging,75
extensive,72
complex,69
rewarding,69
effective,64
steady,62
ethical,58
accurate,55
dedicated,55
attentive,54
typical,50
emotional,44
authoritative,41
different,41
comprehensive,38
focused,38
informed,38
long,38
approachable,34
personal,34
quiet,33
reliable,33
important,32
well,32
good,31
soft,29
lifelong,28
overall,28
precise,27
technical,27
trustworthy,27
wise,27
clear,26
scientific,26
specialized,26
healthy,25
reassuring,25
gentle,24
high,24
formal,23
late,23
private,23
caring,21
sharp,21
analytical,20
difficult,20
empathy,20
cultural,18
respectful,18
specific,18
timely,18
passionate,17
stressful,17
deliberate,16
stern,16
easy,15
possible,15
thorough,15
key,14
rigorous,13
confident,12
curious,12
interpersonal,12
quick,12
thoughtful,12
advanced,11
diagnostic,11
appropriate,10
crisp,10
human,10
preventive,10
safe,10
warm,10
committed,9
demanding,9
overhead,9
positive,9
chronic,8
general,8
new,8
primary,8
tall,8
tough,8
verbal,8
careful,7
comforting,7
persistent,7
physical,7
strict,7
sure,7
able,6
great,6
individual,6
modern,6
own,6
respected,6
significant,6
elderly,5
firm,5
future,5
internal,5
kind,5
meaningful,5
proper,5
resilient,5
simple,5
subtle,5
comfortable,4
common,4
current,4
distant,4
diverse,4
doctorly,4
educational,4
measured,4
more,4
organized,4
preventative,4
small,4
spiritual,4
antiseptic,3
big,3
certain,3
deep,3
eager,3
excellent,3
first,3
haired,3
holistic,3
keen,3
mental,3
meticulous,3
neat,3
necessary,3
occasional,3
ongoing,3
proficient,3
profound,3
qualified,3
supportive,3
understandable,3
understood,3
willing,3
broad,2
busy,2
calming,2
chaotic,2
concerned,2
continued,2
countless,2
detailed,2
everyday,2
evident,2
exact,2
expert,2
faint,2
invaluable,2
observant,2
old,2
optimal,2
pale,2
particular,2
personalized,2
powerful,2
practiced,2
same,2
shallow,2
silver,2
structured,2
surgical,2
troubled,2
veterinary,2
worn,2
accessible,1
accredited,1
active,1
acute,1
additional,1
alone,1
alternative,1
anxious,1
assertive,1
bad,1
bald,1
biological,1
calloused,1
capable,1
clean,1
collaborative,1
competent,1
complete,1
constant,1
core,1
daily,1
dark,1
delicate,1
devoted,1
diagnose,1
diligent,1
dim,1
experienced,1
fresh,1
friendly,1
fundamental,1
further,1
glamorous,1
healer,1
heavy,1
heroic,1
honesty,1
impersonal,1
indispensable,1
informative,1
inner,1
innovative,1
inspiring,1
intelligent,1
intimidating,1
intricate,1
just,1
known,1
large,1
logical,1
magical,1
main,1
methodical,1
most,1
mysterious,1
mystical,1
nonverbal,1
open,1
organizational,1
overbearing,1
perfect,1
polished,1
practical,1
purposeful,1
rapid,1
regular,1
relatable,1
related,1
resolute,1
scared,1
selfless,1
serious,1
sick,1
slight,1
smooth,1
sophisticated,1
sterile,1
tense,1
thick,1
tired,1
trusted,1
uncertain,1
unclean,1
unknown,1
unparalleled,1
unseen,1
urgent,1
vast,1
very,1
visible,1
vulnerable,1
wide,1
wooden,1
young,1
