profession,n_male,n_female,n_nongender,male_female_cosine_dist,male_nongender_cosine_dist,female_nongender_cosine_dist,radius_male,radius_female,radius_nongender
accountant,0,0,1000,,,,,,49.07283208191709
artist,11,13,986,0.01768716757589106,0.05511375098064575,0.03431002673388628,0.4439679777776125,30.635498093398315,53.21690402130778
astronaut,11,0,999,,0.02019235291021204,,0.4406792679361158,,93.695988968791
banker,19,0,981,,0.12394428896427168,,36.116021478471524,,51.56427247460823
carpenter,43,0,957,,0.05225118231086079,,28.07234905650858,,43.03886035495421
chef,3,11,996,0.013783295389664052,0.12060444927369318,0.10522166989453241,17.117830829023614,0.4345071448183027,59.764331129289886
doctor,9,11,990,0.028192684749954844,0.06404698779122475,0.11287385882919287,22.779521875450847,0.4411979060216728,52.15860284918569
engineer,11,0,999,,0.14983753284618262,,0.4408772729392967,,55.33654552542209
farmer,77,0,923,,0.09890759614484068,,39.89921936387675,,31.39953899791745
firefighter,19,0,981,,0.0717164258176729,,31.915425488584543,,46.26663394633294
lawyer,7,0,993,,0.1485034411390581,,17.770763863902904,,52.95044201818772
musician,0,14,986,,,0.034657825023061584,,30.588768073054514,52.893447098405375
nurse,0,47,953,,,0.0916662147812981,,30.825098197180903,42.50521188183625
pilot,23,0,977,,0.11218812014393786,,41.36750523311848,,46.923233472405876
plumber,71,0,929,,0.07226105187017129,,27.665919769992403,,47.33671639985852
professor,9,0,991,,0.12166432179477282,,22.237397090808088,,53.06551508767642
receptionist,0,3,997,,,0.05827518507643403,,10.405834057789674,79.75917301322094
scientist,11,0,999,,0.03235895605549022,,0.4439957911480231,,55.786495962641936
teacher,2,4,994,0.054006464956887545,0.07049679764119443,0.06749330179257718,6.917125215170526,26.07632059426656,46.36911124297283
veterinarian,0,2,998,,,0.1693388313252222,,11.662624968792917,51.41964775980035
writer,2,5,993,0.05080580551960723,0.05078644426187995,0.00968921756124308,24.646253052243885,19.688701946241874,87.49910400432637
