profession,gender_label,mean_score,median_score,min_score,max_score,std_score,sample_count,spread
accountant,non-gender,0.29461021282745753,0.29097724946916903,0.1671005357055187,0.5633024775637641,0.059006759840993836,1000,0.39620194185824537
artist,female,0.32734060766052253,0.2944284450377778,0.2208304604419693,0.4126117036431979,0.06253181851420114,13,0.19178124320122858
artist,male,0.34840902803536855,0.3484042758956162,0.3482649345034155,0.3485453691449909,8.308020212660331e-05,11,0.0002804346415754
artist,non-gender,0.25038136156367735,0.24622397653416364,0.0535596904275967,0.5127858258816144,0.0673902098293316,986,0.4592261354540177
astronaut,male,0.35531885613767766,0.3552997627769049,0.355105632473355,0.3555189101027389,0.00011024342479993798,11,0.00041327762938386803
astronaut,non-gender,0.3066088034023321,0.3114369063619942,0.1026781632140513,0.5400128418723739,0.06352383831879226,999,0.43733467865832254
banker,male,0.19478158708761292,0.1706344863995772,0.1244239786948879,0.3282710093357123,0.05702304387828206,19,0.20384703064082438
banker,non-gender,0.3155675094037274,0.3179172871017457,0.0727535407500551,0.5387269809095211,0.05272230566429107,981,0.46597344015946596
carpenter,male,0.24409979118552058,0.2558307323022936,0.0829912196175708,0.3848991440379415,0.07614367727917441,43,0.30190792442037073
carpenter,non-gender,0.2903465300747935,0.2847985569230583,0.1292430493575503,0.5231363417780788,0.060217189338579884,957,0.3938932924205285
chef,female,0.08425034265659122,0.0842174360775589,0.0841448975667385,0.0843785379800844,8.584193156026756e-05,11,0.00023364041334590635
chef,male,0.08592254480660395,0.0414799357632473,0.0224705982315079,0.1938171004250567,0.09392159004950056,3,0.1713465021935488
chef,non-gender,0.24115034046508338,0.24003270645096808,0.0184778716177416,0.5525419588453039,0.0765673840254167,996,0.5340640872275623
doctor,female,0.2817709241698844,0.2818065948585395,0.2815895139692103,0.2819545121788312,0.00011014407822170249,11,0.000364998209620937
doctor,male,0.32426669862807417,0.3161296494372069,0.2497965630299179,0.3923212394058662,0.05345104997484573,9,0.14252467637594832
doctor,non-gender,0.3245906398150616,0.32514381671400316,0.1147200488841271,0.4967936491224697,0.0604975473944269,990,0.3820736002383426
engineer,male,0.17639059798851592,0.1763995513635826,0.1762693552814444,0.1765987950752106,0.00010308903459877881,11,0.0003294397937661786
engineer,non-gender,0.3150526094041862,0.3194915609328086,0.1004098964770462,0.5347798309077534,0.06472383551399494,999,0.43436993443070715
farmer,male,0.2219357439424891,0.168863299278422,0.0417005165803911,0.4668941541366503,0.1292936069609244,77,0.4251936375562592
farmer,non-gender,0.3617613832573316,0.3637725809702978,0.1977891632884298,0.5017938978817985,0.05420365230573548,923,0.30400473459336874
firefighter,male,0.33159812019339124,0.3452814518809784,0.1297300979584172,0.4391673950095176,0.07971647339449524,19,0.30943729705110046
firefighter,non-gender,0.3195495200525554,0.3200090126339163,0.070235967781229,0.5274305341111772,0.055124314607399444,981,0.45719456632994826
lawyer,male,0.1682811661360867,0.1690236883090307,0.0921197722377381,0.227229575520966,0.05268101381303311,7,0.13510980328322791
lawyer,non-gender,0.2753156115399638,0.2729433962540093,0.0976856722771179,0.5070063579862562,0.06464249984512328,993,0.40932068570913827
musician,female,0.2778975372121145,0.2772785283764559,0.219746646740686,0.3437012872604494,0.03319984960348868,14,0.1239546405197634
musician,non-gender,0.2621241969289217,0.2598015049614655,0.066209744193795,0.427501790227623,0.06948296568246085,986,0.36129204603382803
nurse,female,0.2913939212736617,0.2952527896003846,0.1838439872822889,0.3722073159030789,0.047675624275066754,47,0.18836332862078997
nurse,non-gender,0.2968356786366374,0.299130048110827,0.1593701863725798,0.4510654493157456,0.054612705419655704,953,0.29169526294316583
pilot,male,0.23399801075507626,0.2258838738804754,0.126867646000356,0.343462339657276,0.06100663432724498,23,0.21659469365692002
pilot,non-gender,0.3291956095093167,0.3305010551151756,0.1637859821515242,0.450426997120105,0.05498956964614059,977,0.28664101496858074
plumber,male,0.28459904756536153,0.296083876356325,0.1783645588557513,0.3973709289596945,0.04917180184382648,71,0.2190063701039432
plumber,non-gender,0.3016326486072993,0.295494334309283,0.1944845265999389,0.5671099268268777,0.053106888937291506,929,0.3726254002269388
professor,male,0.19340572046825033,0.1726289422964593,0.1231128866775949,0.3216023298488831,0.06120039743748306,9,0.1984894431712882
