profession,mean_gender_score,median_gender_score,std_gender_score,min_gender_score,max_gender_score,sample_count
chef,0.2411490692184942,0.24003139934631568,0.07656588709502016,0.0184813316559645,0.5525314249141423,996
artist,0.25037987820724855,0.24622270005889418,0.06738884276535079,0.0535620151550477,0.5127784446883639,986
musician,0.26212251465985115,0.25980045823825776,0.06948154811678176,0.06621150693996,0.4274967400656595,986
lawyer,0.27531364145092857,0.2729420466649207,0.06464111628195751,0.0976883580385113,0.5069984695471131,993
writer,0.27977646657462285,0.2823909824823818,0.0608371728972831,0.1036508127713304,0.5015595439235224,993
veterinarian,0.2873947514718377,0.2839701357546508,0.05715032306930904,0.1276256974125462,0.4955974932051238,998
carpenter,0.2903449284733882,0.2847968077088111,0.06021585711883088,0.1292445096995266,0.5231262320901569,957
accountant,0.29460852041280666,0.290976045235643,0.05900549071269245,0.1671010849601816,0.5632936444113393,1000
professor,0.2950197902691866,0.3018489003889868,0.05528417223065858,0.0963886134095774,0.4620281024630738,991
nurse,0.2968339312172459,0.2991288523282217,0.05461160539809934,0.159371360314105,0.4510606418937252,953
plumber,0.30163115356743025,0.2954925509828681,0.05310559740482352,0.194485693193974,0.5671003955052475,929
astronaut,0.3066064378727436,0.3114344245760426,0.06352248035705639,0.1026801191351921,0.5399983595904493,999
receptionist,0.30880247040482395,0.3108936733428674,0.05525199283163833,0.1620010948984273,0.56983734567929,997
engineer,0.3150508262298267,0.3194902476808048,0.06472234342842323,0.1004123278811112,0.534772029273423,999
banker,0.31556512719377955,0.3179153539808816,0.05272123225669633,0.0727556750867122,0.5387169645778115,981
firefighter,0.3195473643959477,0.3200065856666244,0.05512296043953698,0.0702475980792168,0.5274219937406397,981
doctor,0.3245879711048685,0.32514146577947567,0.06049632815593416,0.1147215869060721,0.4967877115113575,990
pilot,0.3291927517397826,0.3304985603710021,0.05498833556377459,0.1637862257851143,0.4504222216824115,977
teacher,0.3321963629449937,0.33232762331193655,0.0511976963131885,0.1302574174165171,0.4986570694518291,994
scientist,0.3496617937280782,0.349298333511484,0.06077730823295291,0.0626787998935627,0.4956704726578389,999
farmer,0.3617583376585218,0.3637697588855278,0.05420261818017463,0.1977893699997188,0.5017878443305606,923
