profession,mean_gender_score,median_gender_score,std_gender_score,min_gender_score,max_gender_score,sample_count
chef,0.2292623737467879,0.22789132595062256,0.06688953833616842,0.0380748249590396,0.5027773380279541,996
artist,0.23712811317544194,0.23264721781015396,0.05918700856184819,0.0734642222523689,0.4719783365726471,986
musician,0.24597729575531233,0.24349166452884674,0.06059269024275277,0.0781904235482215,0.3918820917606354,986
lawyer,0.25557786622436385,0.2528936564922333,0.057678943489945594,0.110917255282402,0.4553681910037994,993
writer,0.2626078882276231,0.2643274068832397,0.05382304495133404,0.1060518622398376,0.4581046402454376,993
veterinarian,0.26835012223146004,0.2643914371728897,0.05059603231696761,0.1233664378523826,0.4475468099117279,998
carpenter,0.27007917732841163,0.2656917870044708,0.05321822484835409,0.1337775439023971,0.4695428609848022,957
professor,0.27031667245595176,0.275437593460083,0.04842832716368468,0.1046624407172203,0.4215889573097229,991
accountant,0.2724071785658597,0.2691957354545593,0.05342638569877867,0.1560076624155044,0.5082316994667053,1000
nurse,0.280516545003884,0.2825017273426056,0.04905533512587206,0.1577450037002563,0.4146918058395386,953
astronaut,0.28211025696795977,0.2858495116233825,0.05549909271127238,0.0996995493769645,0.4824391901493072,999
plumber,0.28256824891713517,0.2773289680480957,0.04668509872266688,0.1872484683990478,0.5016323328018188,929
engineer,0.29057503407364255,0.2941100299358368,0.05727859882848406,0.1160658746957779,0.4798712730407715,999
receptionist,0.2920495610956921,0.2931528389453888,0.04927587348487978,0.1608226895332336,0.5184546709060669,997
banker,0.29397662241433375,0.294996052980423,0.04665983288808084,0.0896013304591178,0.4907377958297729,981
firefighter,0.2956362049514001,0.2962128221988678,0.049063838952240466,0.0672643780708313,0.4703050851821899,981
doctor,0.3011148639399596,0.30205436050891876,0.05273170258758323,0.128533124923706,0.4496334791183471,990
teacher,0.3062046016425914,0.306546539068222,0.04519188599531947,0.1386901140213012,0.454332023859024,994
pilot,0.30657140222762236,0.3078416585922241,0.04879699207945551,0.1570962965488433,0.4127431511878967,977
scientist,0.3210548069011103,0.32085981965065,0.05295976222356755,0.0767769142985344,0.4511599242687225,999
farmer,0.3360119374834187,0.33789923787117,0.047306123050171366,0.1945316642522812,0.458073079586029,923
