profession,gender_label,mean_score,median_score,min_score,max_score,std_score,sample_count,spread
accountant,non-gender,0.2724070880227024,0.26919565286552116,0.1560076052309432,0.5082316085392405,0.05342637394250603,1000,0.35222400330829734
artist,female,0.30863892840461193,0.2819815259527236,0.2119641524591254,0.3825918849569107,0.054947229779305766,13,0.17062773249778532
artist,male,0.32582996350126775,0.3257815131335861,0.3256746266654742,0.3260322861864504,0.00011122480792038103,11,0.0003576595209762168
artist,non-gender,0.23712800420428756,0.23264711551998496,0.0734641405672449,0.4719782306784435,0.05918700122317163,986,0.39851409011119865
astronaut,male,0.3231666528125624,0.3231720342307374,0.3230780445268146,0.3232501632743664,6.076160953499884e-05,11,0.00017211874755179712
astronaut,non-gender,0.28211013362855547,0.2858493441584834,0.0996994452101957,0.4824389651096747,0.055499087216175684,999,0.382739519899479
banker,male,0.19369228302824207,0.1750676037648457,0.1345765256504163,0.3023403072130516,0.04895887242612851,19,0.1677637815626353
banker,non-gender,0.2939765119475094,0.2949959318431607,0.0896012382889663,0.4907376853747643,0.046659830527817546,981,0.401136447085798
carpenter,male,0.2317291853326272,0.2378342245968239,0.0951495463441552,0.3543088047760852,0.06501617601625687,43,0.25915925843193
carpenter,non-gender,0.2700790664159355,0.2656916959304619,0.133777461158204,0.4695426475719449,0.05321822165177609,957,0.3357651864137409
chef,female,0.09576716785118693,0.0958122571476148,0.0953954569182467,0.0959181214733344,0.00015135614160588948,11,0.0005226645550876902
chef,male,0.09765666584190592,0.0607072154081401,0.0421215437412559,0.1901412383763218,0.08063128372711505,3,0.1480196946350659
chef,non-gender,0.22926225952676776,0.22789120075977565,0.0380747367868712,0.5027772794338736,0.06688953327710295,996,0.46470254264700245
doctor,female,0.2765752052667682,0.2765776420061227,0.2763655724261751,0.2767332840792334,0.00011279553835617384,11,0.00036771165305832243
doctor,male,0.30565376338998196,0.3029556781799967,0.2442347914532623,0.3589993164067853,0.04234811990432633,9,0.11476452495352299
doctor,non-gender,0.3011147186598934,0.30205418620916713,0.1285330121327648,0.4496333356562247,0.05273170199732288,990,0.3211003235234599
engineer,male,0.17736415489863966,0.1773876487642765,0.1771648435962853,0.1775863892993101,0.00012332200960202505,11,0.00042154570302480043
engineer,non-gender,0.2905749138120003,0.2941098750247055,0.1160657576635352,0.4798711575126635,0.057278593329516896,999,0.3638053998491283
farmer,male,0.21194834169122334,0.168263345305821,0.0569571974251377,0.4229479492783545,0.11314022793866389,77,0.3659907518532168
farmer,non-gender,0.3360118026291307,0.3378990873271423,0.1945315171493231,0.4580729909245734,0.04730612395442509,923,0.2635414737752503
firefighter,male,0.3087029383223405,0.3238058889582547,0.1234330024660026,0.4031647719792212,0.07158756826313063,19,0.2797317695132186
firefighter,non-gender,0.29563607622729676,0.2962126904139819,0.0672642633705065,0.4703049416612438,0.049063836018309895,981,0.4030406782907373
lawyer,male,0.17000211290704684,0.1758892951512509,0.0993725426050443,0.2213125029266141,0.047297157964754394,7,0.12193996032156981
lawyer,non-gender,0.25557774604461575,0.2528934770078285,0.110917175074558,0.4553680726214201,0.05767893704979878,993,0.3444508975468621
musician,female,0.2682418026854875,0.26557711129198014,0.2178171868755746,0.3274444778439128,0.030036275764007282,14,0.10962729096833818
musician,non-gender,0.24597719278307595,0.24349156838747527,0.078190335519085,0.3918819739765599,0.060592680713578644,986,0.3136916384574749
nurse,female,0.28177423844804944,0.28501182034687,0.1859995860667945,0.3485309362502676,0.04093245920121008,47,0.1625313501834731
nurse,non-gender,0.2805164112285817,0.2825016379427467,0.157744878634108,0.4146916918427664,0.049055333041428915,953,0.2569468132086584
pilot,male,0.2311502076184088,0.2240645282690049,0.1364188562318914,0.3162939571306574,0.05181944242331535,23,0.179875100898766
pilot,non-gender,0.3065712808860192,0.307841524038667,0.1570962103932711,0.4127430236708747,0.04879698748219646,977,0.2556468132776036
plumber,male,0.2700247107452534,0.2803213797137154,0.177987288063807,0.366022562132323,0.04270240435063928,71,0.18803527406851597
plumber,non-gender,0.2825681107991901,0.2773288306954816,0.1872483173404667,0.5016321428416216,0.0466850974138371,929,0.3143838255011549
professor,male,0.19072796962941135,0.1712771537233988,0.1307325122874055,0.3065772733801212,0.05370583325656895,9,0.17584476109271568
professor,non-gender,0.27031654502882446,0.2754374777310484,0.1046623279190646,0.42158881690373,0.04842832142691549,991,0.3169264889846654
receptionist,female,0.33274292650393733,0.3290744979492935,0.328039431639845,0.3411148499226735,0.00726874589342108,3,0.013075418282828488
receptionist,non-gender,0.2920494702575831,0.2931527485637348,0.1608226014773027,0.5184545740082104,0.04927586753093492,997,0.35763197253090767
scientist,male,0.3300562625160393,0.3300524976852418,0.3299016225916322,0.3301495611705542,7.297334437000817e-05,11,0.00024793857892202453
scientist,non-gender,0.3210546726108145,0.3208596904360754,0.076776820683185,0.4511598160096989,0.052959759047657685,999,0.37438299532651387
teacher,female,0.28233037042940673,0.27513134641837644,0.2056893620273459,0.3733694268535281,0.06902127199058901,4,0.1676800648261822
teacher,male,0.39556183397637557,0.39556183397637557,0.3906615021516325,0.4004621658011186,0.006930115726680151,2,0.009800663649486119
teacher,non-gender,0.30620448662425764,0.3065464241195921,0.138690041930663,0.4543318822401126,0.045191880404620854,994,0.31564184030944964
veterinarian,female,0.1555611692659841,0.1555611692659841,0.130552263931105,0.1805700746008632,0.035367933104690864,2,0.05001781066975819
veterinarian,non-gender,0.26834997838931324,0.26439128319494104,0.1233662826318219,0.4475466617835628,0.05059603149805126,998,0.3241803791517409
writer,female,0.3190092173111907,0.3191404056594413,0.2318033463306472,0.4090304787620649,0.06419917146014979,5,0.1772271324314177
writer,male,0.2716025653510835,0.2716025653510835,0.2050616139602286,0.3381435167419384,0.09410311591015583,2,0.13308190278170978
writer,non-gender,0.26260777909355865,0.2643273192192607,0.1060517819975918,0.458104488672695,0.05382303782526032,993,0.3520527066751032
