adjective,count
complex,442
technical,405
scientific,387
innovative,366
practical,316
various,293
mechanical,263
everyday,262
mathematical,261
civil,242
real,224
electrical,209
logical,184
efficient,167
many,155
specific,136
such,129
creative,126
analytical,123
new,122
essential,114
functional,106
passionate,103
manageable,91
significant,81
safe,78
strong,78
methodical,72
crucial,71
collaborative,69
tangible,64
wide,64
curious,63
persistent,63
critical,60
other,52
technological,49
vital,47
common,46
professional,44
precise,42
theoretical,41
simple,35
sustainable,34
steady,33
continuous,32
direct,32
effective,30
key,28
diverse,27
quiet,27
reliable,26
focused,25
biomedical,24
environmental,24
important,23
sharp,23
modern,22
soft,22
skilled,20
structured,19
meticulous,17
systematic,17
calm,16
ethical,16
successful,16
intricate,15
patient,14
-,13
abstract,12
careful,12
challenging,12
specialized,12
valuable,12
clear,11
digital,11
profound,11
deliberate,10
different,10
enthusiastic,10
massive,9
meaningful,9
possible,9
rhythmic,9
able,8
big,8
blue,8
responsible,8
advanced,7
confident,7
cross,7
daily,7
small,7
thick,7
white,7
capable,6
deep,6
good,6
impactful,6
medical,6
more,6
non,6
rewarding,6
societal,6
useful,6
verbal,6
adaptable,5
disciplinary,5
industrial,5
large,5
personal,5
understandable,5
vast,5
current,4
distant,4
easy,4
long,4
physical,4
positive,4
raw,4
relentless,4
rigid,4
social,4
traditional,4
aesthetic,3
approachable,3
beautiful,3
bustling,3
determined,3
disciplined,3
huge,3
independent,3
keen,3
late,3
multiple,3
resilient,3
same,3
sleek,3
subtle,3
versatile,3
very,3
well,3
accessible,2
advance,2
alive,2
associate,2
broad,2
committed,2
complicated,2
countless,2
crisp,2
dedicated,2
difficult,2
dim,2
eager,2
expressive,2
faint,2
feasible,2
final,2
flexible,2
formal,2
future,2
high,2
indispensable,2
informed,2
inspiring,2
intense,2
interdisciplinary,2
measured,2
multidisciplinary,2
natural,2
next,2
occasional,2
old,2
open,2
overhead,2
perfect,2
potential,2
pragmatic,2
purposeful,2
rigorous,2
rugged,2
serious,2
solid,2
structural,2
sure,2
tall,2
thoughtful,2
unique,2
academic,1
also善于倾听,1
applied,1
authoritative,1
bright,1
busy,1
civilian,1
clean,1
communicate,1
concrete,1
constant,1
cool,1
damp,1
decisive,1
delicate,1
detailed,1
dynamic,1
empathetic,1
excellent,1
excited,1
existing,1
experimental,1
extraordinary,1
graceful,1
gray,1
hard,1
human,1
humble,1
impossible,1
interpersonal,1
invaluable,1
joint,1
lasting,1
metallic,1
ordinary,1
organized,1
own,1
persuasive,1
popular,1
powerful,1
practiced,1
protective,1
proud,1
regulatory,1
relatable,1
renewable,1
reserved,1
rocky,1
routine,1
secure,1
short,1
silent,1
stimulating,1
straightforward,1
suited,1
supportive,1
sustained,1
tailored,1
thin,1
tough,1
unseen,1
unwavering,1
viable,1
visible,1
warm,1
worn,1
