adjective,count
vital,396
rural,363
deep,250
essential,248
many,242
hard,233
resilient,172
strong,172
traditional,166
local,165
long,164
natural,161
hardworking,139
daily,127
agricultural,123
physical,108
economic,92
such,75
modern,73
demanding,72
rewarding,64
challenging,59
seasonal,59
sustainable,59
practical,57
passionate,54
humble,51
typical,51
responsible,48
quiet,46
golden,44
dedicated,37
environmental,35
simple,32
global,30
steady,30
sturdy,29
own,25
small,24
crucial,23
worn,21
careful,20
diligent,19
committed,18
future,18
reliable,17
distant,16
patient,16
tall,16
various,16
fresh,15
large,15
rolling,15
soft,14
cultural,13
human,13
important,13
adaptable,12
personal,12
rugged,12
thoughtful,12
old,11
successful,11
thick,11
unpredictable,11
approachable,10
broad,10
diverse,10
manual,10
modest,10
green,9
close,8
dependable,8
friendly,8
intensive,8
practiced,8
compassionate,7
early,7
limited,7
low,7
national,7
reliant,7
rough,7
specific,7
stable,7
warm,7
blue,6
calm,6
connected,6
conscious,6
innovative,6
mental,6
red,6
resourceful,6
smiley,6
white,6
common,5
damp,5
deliberate,5
determined,5
ecological,5
ethic,5
gentle,5
key,5
late,5
active,4
fit,4
focused,4
harsh,4
isolated,4
kind,4
other,4
outdoor,4
persistent,4
relaxed,4
ripe,4
significant,4
tough,4
wooden,4
available,3
bent,3
bright,3
casual,3
cheerful,3
commercial,3
earthy,3
emotional,3
energetic,3
fashioned,3
good,3
honest,3
honesty,3
intellectual,3
much,3
new,3
open,3
peaceful,3
productive,3
proud,3
rhythmic,3
skilled,3
solitary,3
sufficient,3
urban,3
vibrant,3
able,2
bountiful,2
comfortable,2
content,2
cool,2
crisp,2
different,2
durable,2
elderly,2
faint,2
familiar,2
fertile,2
hardy,2
heavy,2
historical,2
overall,2
remote,2
respected,2
rich,2
rooted,2
routine,2
scythe,2
silent,2
social,2
stoic,2
technological,2
timeless,2
tiny,2
vast,2
weary,2
wide,2
willing,2
young,2
-,1
agrarian,1
alive,1
ancient,1
anxious,1
barren,1
beautiful,1
bodied,1
bulky,1
bustling,1
busy,1
calloused,1
caring,1
communal,1
complex,1
consistent,1
contemporary,1
digital,1
dirty,1
dry,1
dynamic,1
educational,1
enduring,1
entire,1
everyday,1
evident,1
extreme,1
faded,1
final,1
first,1
full,1
generational,1
grainy,1
great,1
grounded,1
haired,1
hardhat,1
harmonious,1
impressive,1
independent,1
indispensable,1
industrial,1
industrious,1
interested,1
invaluable,1
keen,1
lasting,1
lean,1
loud,1
lush,1
methodical,1
meticulous,1
most,1
next,1
occasional,1
pliant,1
poetic,1
poor,1
precious,1
rainy,1
raw,1
ready,1
real,1
reflective,1
reserved,1
resistant,1
robust,1
serene,1
serious,1
sickle,1
silhouetted,1
sodden,1
spade,1
steadfast,1
still,1
stressful,1
sunlit,1
sunny,1
sure,1
sweet,1
tender,1
tired,1
unhurried,1
unnoticed,1
unseen,1
unspoken,1
valuable,1
visible,1
weathered,1
wise,1
