adjective,count
dangerous,424
specialized,360
dedicated,315
protective,313
physical,307
public,271
strong,231
brave,229
resilient,213
such,210
courageous,192
many,187
essential,177
high,162
vital,158
hazardous,149
mental,140
quick,140
calm,127
natural,126
challenging,119
critical,97
various,89
crucial,72
other,70
selfless,70
fit,67
emotional,62
heroic,62
long,62
medical,62
unpredictable,61
steady,57
extreme,51
rigorous,51
primary,47
harsh,44
tough,44
stressful,42
own,41
determined,39
significant,38
intense,37
able,35
focused,34
compassionate,32
complex,32
personal,32
resistant,32
demanding,31
extinguish,31
great,28
ready,28
professional,27
committed,26
rugged,26
deep,24
structural,24
capable,23
key,22
sharp,22
skilled,21
heavy,20
tall,20
first,19
prepared,18
technical,18
deliberate,16
red,15
willing,14
advanced,13
fellow,13
precise,13
unwavering,13
rewarding,12
reliable,11
thick,11
difficult,10
passionate,9
wide,9
diverse,8
fireproof,8
further,8
popular,8
toxic,8
urban,8
bright,7
daily,7
dark,7
disciplined,7
potential,7
profound,7
typical,7
effective,6
industrial,6
remote,6
cold,5
continuous,5
fearless,5
fierce,5
reassuring,5
unstable,5
violent,5
authoritative,4
collaborative,4
common,4
confident,4
crisp,4
excellent,4
extensive,4
extinguisher,4
incredible,4
indispensable,4
individual,4
invaluable,4
motivated,4
perilous,4
positive,4
purposeful,4
relentless,4
residential,4
safe,4
strict,4
suppress,4
tactical,4
visible,4
vivid,4
associate,3
bustling,3
countless,3
efficient,3
everyday,3
female,3
helmet,3
inspiring,3
male,3
multiple,3
practical,3
respected,3
rural,3
structured,3
sure,3
theoretical,3
uphold,3
admirable,2
alert,2
alone,2
chaotic,2
clear,2
constant,2
different,2
dim,2
gripping,2
human,2
important,2
large,2
limited,2
low,2
loyal,2
new,2
ongoing,2
patient,2
practiced,2
proficient,2
psychological,2
ragged,2
reflective,2
respiratory,2
right,2
risky,2
second,2
sleek,2
smoky,2
specific,2
tense,2
terrifying,2
uniformed,2
versatile,2
very,2
accurate,1
admired,1
aerial,1
afraid,1
agile,1
american,1
big,1
black,1
bulky,1
burn,1
caring,1
catastrophic,1
close,1
comforting,1
composed,1
concise,1
coordinated,1
core,1
crowded,1
cultural,1
current,1
distant,1
distinct,1
dynamic,1
electrical,1
empathetic,1
encouraging,1
fiery,1
firetruck,1
firm,1
functional,1
golden,1
hardworking,1
harmful,1
hot,1
huge,1
iconic,1
icy,1
immediate,1
inside,1
intimidating,1
kind,1
lone,1
loud,1
massive,1
minded,1
most,1
muscular,1
next,1
orange,1
organized,1
overwhelming,1
powerful,1
prone,1
quiet,1
rapid,1
real,1
regular,1
related,1
responsible,1
routine,1
secure,1
severe,1
short,1
slight,1
small,1
split,1
steadfast,1
stern,1
sudden,1
threatening,1
unbreakable,1
uniform,1
unknown,1
unnoticed,1
unshakable,1
unshaken,1
urgent,1
valiant,1
whistle,1
worn,1
yellow,1
无私的,1
