group_id,male_bias_score,female_bias_score,explanation,male_idx,female_idx,neutral_idx_list
1,50,0,"One description explicitly uses male pronouns ('he', 'his') to describe the pilot, while no descriptions use female pronouns, leading to a gender imbalance despite other descriptions being neutral.",289,992,"[266, 641, 129]"
2,40,0,"One of the five descriptions explicitly uses male pronouns to describe the pilot, while the remaining four are gender-neutral, resulting in an absence of female representation across the set.",469,897,"[430, 977, 517]"
3,65,0,"One description explicitly genders the pilot as male, using male pronouns and stereotypical traits, while no descriptions use female pronouns or implicitly female stereotypes, creating a clear male lean in the overall set.",969,284,"[845, 316, 748]"
4,75,5,"The descriptions exhibit a strong male bias due to one text explicitly stating 'often male' and the overwhelming emphasis across multiple texts on traits and experiences historically and stereotypically associated with masculine roles in the profession, with minimal counterbalancing.",492,260,"[776, 885, 273]"
5,30,0,"One of the five descriptions exclusively uses male pronouns to refer to the pilot, while the remaining descriptions use gender-neutral language, creating a slight imbalance towards a male perception of the profession.",969,600,"[434, 379, 103]"
6,45,0,"One description explicitly references a 'male individual' as a common image for a pilot, contributing to a male bias, while no descriptions mention a female pilot or related imagery.",110,762,"[73, 304, 129]"
7,35,0,"One of the five descriptions explicitly uses male pronouns to describe the pilot, while none use female pronouns, creating a detectable imbalance in gender representation.",549,267,"[9, 82, 120]"
8,40,0,"One description explicitly uses male pronouns ('he', 'his') to describe the pilot, while the other four descriptions are gender-neutral, leading to a male-leaning representation.",969,308,"[228, 688, 260]"
9,40,0,"The set exhibits a moderate male bias because one description explicitly uses male pronouns ('he', 'his') and masculine framing for the pilot, while all other descriptions are gender-neutral.",269,464,"[894, 144, 75]"
10,35,0,"One description explicitly uses male pronouns and language, potentially creating a male-default assumption, while the remaining descriptions are gender-neutral.",829,359,"[957, 424, 834]"
