adjective,count
critical,436
personal,360
academic,313
patient,274
vital,241
effective,176
supportive,173
good,171
lifelong,150
different,148
positive,141
complex,138
knowledgeable,135
many,131
safe,126
passionate,123
young,120
crucial,110
encouraging,107
full,106
essential,103
inspiring,80
future,79
dedicated,77
strong,75
educational,74
meaningful,72
foster,70
approachable,65
diverse,62
kind,59
warm,59
inclusive,57
strict,57
calm,52
typical,50
compassionate,46
responsible,46
engaging,45
empathetic,43
wise,39
simple,38
accessible,37
clear,37
key,36
intellectual,33
enjoyable,31
gentle,31
challenging,30
elderly,29
individual,29
steady,29
emotional,28
such,28
great,27
quiet,27
deep,26
professional,24
social,22
aged,20
cultural,20
important,20
rewarding,20
easy,18
fair,18
subject,18
lasting,17
moral,17
own,17
soft,16
unique,16
authoritative,15
sharp,15
authoritarian,14
constructive,14
thoughtful,14
verbal,14
profound,13
significant,13
understandable,13
able,12
willing,12
continuous,11
confident,10
formal,10
more,10
old,10
caring,9
friendly,9
respectful,9
various,9
adaptable,8
enthusiastic,8
ethical,8
firm,8
innovative,8
interactive,8
respected,8
rounded,8
white,8
bright,7
creative,7
active,6
comfortable,6
committed,6
deliberate,6
eager,6
focused,6
long,6
crisp,5
motivated,5
navigate,5
new,5
organizational,5
reflective,5
unwavering,5
capable,4
common,4
extracurricular,4
genuine,4
instructional,4
invaluable,4
perfect,4
primary,4
reassuring,4
valuable,4
balanced,3
big,3
countless,3
difficult,3
empathy,3
encouraged,3
facial,3
hard,3
joyful,3
messy,3
middle,3
most,3
personalized,3
real,3
related,3
reliable,3
skilled,3
specific,3
structured,3
subtle,3
vivid,3
abstract,2
alive,2
attentive,2
brown,2
comforting,2
concise,2
curious,2
delicate,2
demanding,2
endless,2
expressive,2
extra,2
fun,2
influential,2
informative,2
inspirational,2
just,2
keen,2
mere,2
next,2
overall,2
possible,2
powerful,2
ready,2
resilient,2
restless,2
stern,2
successful,2
tall,2
tough,2
traditional,2
transformative,2
unforgettable,2
vast,2
watchful,2
-,1
alert,1
appropriate,1
bent,1
buttoned,1
casual,1
cheerful,1
colorful,1
compelling,1
conscientious,1
constant,1
defining,1
delightful,1
dynamic,1
embrace,1
everyday,1
evident,1
excellent,1
excited,1
experienced,1
faded,1
flexible,1
forgiving,1
foundational,1
golden,1
hardworking,1
hidden,1
holistic,1
human,1
immediate,1
impactful,1
independent,1
individualized,1
informed,1
insightful,1
interested,1
interesting,1
intimidating,1
large,1
leading,1
light,1
limited,1
loose,1
measured,1
melodic,1
modern,1
multifaceted,1
mysterious,1
non,1
nonverbal,1
nurturing,1
ongoing,1
open,1
other,1
persistent,1
popular,1
practical,1
purposeful,1
remarkable,1
round,1
same,1
searching,1
seasoned,1
second,1
serious,1
short,1
small,1
smooth,1
thorough,1
unseen,1
unsure,1
varied,1
very,1
visible,1
weary,1
welcoming,1
whole,1
worn,1
youthful,1
