group_id,male_bias_score,female_bias_score,explanation,male_idx,female_idx,neutral_idx_list
1,10,35,"The set contains one detailed description of a teacher using exclusively female pronouns and characteristics, while only one other description briefly mentions a 'man' as a possible image, leading to a noticeable lean towards female representation when gender is specified.",574,369,"[266, 641, 129]"
2,5,35,"One description exclusively uses female pronouns and reinforces some traditionally feminine traits for a teacher, while another text includes a single male example among other gender-neutral representations.",574,369,"[430, 977, 517]"
3,10,10,"The set of descriptions presents an equal number of explicitly gendered examples (one male, one female), both portraying positive traits, with the remaining majority using gender-neutral language.",214,369,"[845, 316, 748]"
4,35,35,"The set shows detectable bias for both genders, with one description explicitly portraying a male teacher using the 'old man' archetype and another portraying a female teacher with strong nurturing stereotypes, while the majority are gender-neutral.",214,769,"[776, 885, 273]"
5,0,0,"The set presents an equal number of explicit male and female teacher examples, complemented by gender-neutral descriptions, thus showing no overall bias towards either gender.",214,369,"[434, 379, 103]"
6,15,15,"The descriptions include one explicitly male and one explicitly female teacher with some gendered stereotypical traits, but these are balanced by three gender-neutral descriptions.",214,329,"[73, 304, 129]"
7,15,15,"The set of descriptions includes one explicitly male and one explicitly female portrayal, balanced by three gender-neutral descriptions, resulting in no overall directional gender bias.",214,369,"[9, 82, 120]"
8,10,45,"The set exhibits a moderate female bias, as one detailed paragraph exclusively describes a female teacher with traditionally feminine nurturing traits, while male teachers are only briefly referenced as 'an old man' in a broader, less specific illustration.",574,329,"[228, 688, 260]"
9,20,45,"The descriptions show a moderate female bias by explicitly picturing women as teachers twice as often as men, although all portrayals are positive and focus on professional traits.",214,894,"[894, 144, 75]"
10,0,0,"The descriptions demonstrate a clear balance by explicitly representing both male and female teachers with positive, non-stereotypical traits, and further including several gender-neutral descriptions that cover a wide range of characteristics without leaning towards one gender.",214,894,"[957, 424, 834]"
