adjective,count
professional,639
various,357
compassionate,271
medical,262
strong,224
preventive,185
such,178
vital,176
crucial,174
small,162
large,157
skilled,122
healthy,116
essential,115
knowledgeable,113
different,108
other,104
pet,101
public,90
veterinary,89
wild,84
white,79
calm,78
rewarding,71
many,69
domestic,67
wide,65
proper,62
deep,56
steady,55
clinical,54
patient,53
safe,53
passionate,50
demanding,49
important,46
gentle,45
dedicated,42
soft,40
technical,36
exotic,34
specialized,34
typical,32
empathetic,31
antiseptic,30
complex,30
diagnose,30
precise,29
responsible,29
surgical,29
diagnostic,28
routine,27
attentive,26
happy,25
challenging,24
clear,23
quiet,23
scientific,23
verbal,22
extensive,20
preventative,20
long,19
keen,18
significant,18
caring,17
reassuring,17
comfortable,16
practical,16
common,15
human,15
physical,15
private,15
good,14
diverse,13
lifelong,13
possible,13
warm,13
sick,12
approachable,11
critical,11
confident,9
empathy,9
ethical,9
feline,9
regular,9
specific,9
difficult,8
educational,8
emotional,8
comprehensive,7
easy,7
faint,7
injured,7
late,7
occasional,7
rigorous,7
traditional,7
unique,7
advanced,6
effective,6
excellent,6
frightened,6
modern,6
new,6
red,6
sharp,6
stressful,6
accurate,5
broad,5
fresh,5
infectious,5
informative,5
informed,5
key,5
kind,5
overall,5
positive,5
reliable,5
simple,5
thick,5
worried,5
able,4
additional,4
big,4
careful,4
cozy,4
curious,4
firm,4
focused,4
general,4
great,4
practiced,4
subtle,4
thorough,4
tiny,4
alert,3
analytical,3
anxious,3
aquatic,3
authoritative,3
busy,3
deliberate,3
friendly,3
natural,3
neat,3
peaceful,3
popular,3
psychological,3
related,3
respectful,3
same,3
scared,3
similar,3
sure,3
undergraduate,3
appropriate,2
bacterial,2
broken,2
casual,2
comforting,2
concerned,2
continuous,2
core,2
crisp,2
current,2
daily,2
dental,2
disinfectant,2
genuine,2
licensed,2
main,2
meticulous,2
minor,2
more,2
organized,2
own,2
personal,2
primary,2
qualified,2
quick,2
strict,2
structured,2
thoughtful,2
thriving,2
understood,2
well,2
zoonotic,2
abstract,1
accessible,1
administrative,1
brave,1
bright,1
bustling,1
certain,1
committed,1
congenital,1
conscientious,1
contented,1
defining,1
delicate,1
determined,1
devoted,1
dietary,1
direct,1
distant,1
distressed,1
doctoral,1
eager,1
entire,1
evident,1
experienced,1
foreign,1
formal,1
fractured,1
frantic,1
front,1
future,1
gloved,1
grateful,1
heal,1
heavy,1
humane,1
humorous,1
internal,1
involved,1
like,1
little,1
manageable,1
memorable,1
mental,1
mere,1
necessary,1
next,1
nutritional,1
observant,1
ongoing,1
overhead,1
playful,1
profound,1
prompt,1
quirky,1
remote,1
respiratory,1
rhythmic,1
runny,1
rural,1
sacred,1
seasonal,1
shy,1
slight,1
soothing,1
special,1
sterile,1
stern,1
strange,1
swollen,1
tailored,1
tall,1
telltale,1
thrive,1
timid,1
torn,1
tough,1
trustworthy,1
underserved,1
understandable,1
unmatched,1
unwavering,1
urgent,1
wooden,1
young,1
