adjective,count
unique,298
good,272
creative,261
human,255
complex,233
personal,213
deep,186
vivid,183
strong,178
passionate,164
imaginative,162
compelling,132
quiet,115
curious,108
new,98
many,95
own,94
non,92
persistent,87
-,86
verbal,78
emotional,74
thoughtful,73
meaningful,71
solitary,68
introspective,63
expressive,59
different,56
skilled,56
such,53
fiction,51
reflective,48
long,44
keen,39
able,38
other,37
universal,37
lasting,33
blank,30
various,30
cultural,29
soft,26
important,25
typical,25
abstract,24
worn,23
clear,21
inner,21
challenging,18
empathetic,18
relatable,18
subject,18
willing,18
broad,17
alone,16
common,16
delicate,16
innovative,16
steady,16
great,15
meticulous,15
vital,15
artistic,14
key,14
focused,13
intellectual,13
old,13
open,13
single,13
committed,12
powerful,12
thick,12
effective,11
engaging,11
essential,11
profound,11
analytical,10
authentic,10
capable,10
cozy,10
dedicated,10
digital,10
disciplined,10
inspiring,10
resilient,10
successful,10
unseen,10
bold,9
observant,9
sharp,9
silent,9
tangible,9
coherent,8
comfortable,8
impactful,8
ordinary,8
perfect,8
significant,8
societal,8
unspoken,8
certain,7
distinctive,7
familiar,7
insightful,7
short,7
specific,7
true,7
connected,6
half,6
individual,6
large,6
mundane,6
mysterious,6
original,6
weary,6
alive,5
articulate,5
careful,5
collective,5
defining,5
deliberate,5
empathy,5
occasional,5
poetic,5
professional,5
rich,5
simple,5
social,5
vulnerable,5
accessible,4
concise,4
diverse,4
entertaining,4
external,4
extraordinary,4
immersive,4
last,4
lonely,4
next,4
restless,4
unconventional,4
untold,4
vast,4
wooden,4
attentive,3
beautiful,3
bustling,3
close,3
devoted,3
distinct,3
dramatic,3
eccentric,3
evocative,3
fictional,3
final,3
informative,3
insatiable,3
intricate,3
invisible,3
isolated,3
literary,3
low,3
modern,3
patient,3
philosophical,3
precise,3
provoking,3
real,3
resonant,3
rewarding,3
rhythmic,3
shared,3
small,3
structured,3
subtle,3
traditional,3
unknown,3
very,3
whole,3
accurate,2
afraid,2
alike,2
ancient,2
aware,2
big,2
cluttered,2
collaborative,2
consistent,2
contemplative,2
countless,2
critical,2
crucial,2
difficult,2
diligent,2
distant,2
elusive,2
enigmatic,2
entire,2
eternal,2
ethic,2
excellent,2
faint,2
fantastical,2
flashy,2
flicker,2
formal,2
fragile,2
full,2
golden,2
grounded,2
hidden,2
historical,2
imaginary,2
imagine,2
loud,2
measured,2
methodical,2
more,2
much,2
multiple,2
natural,2
observational,2
obvious,2
only,2
present,2
raw,2
right,2
shy,2
storytelling,2
technical,2
transformative,2
unexpected,2
unfiltered,2
untamed,2
善于思考,2
approachable,1
appropriate,1
bent,1
calm,1
classic,1
clever,1
cohesive,1
communicative,1
complete,1
comprehensive,1
concrete,1
constant,1
contemporary,1
continuous,1
conventional,1
crowded,1
descriptive,1
dim,1
dynamic,1
eloquent,1
endless,1
everyday,1
evident,1
experimental,1
extensive,1
faded,1
famous,1
finished,1
first,1
fleeting,1
forgotten,1
foster,1
fresh,1
general,1
grand,1
grasp,1
gripping,1
hard,1
high,1
honest,1
humble,1
humorous,1
imagined,1
independent,1
inspirational,1
intelligent,1
intended,1
intense,1
interested,1
internal,1
introverted,1
lifelong,1
likely,1
liquid,1
lively,1
lone,1
memorable,1
mental,1
mere,1
motivated,1
musical,1
necessary,1
obsessive,1
organizational,1
organized,1
outgoing,1
outspoken,1
particular,1
peaceful,1
persuasive,1
poignant,1
practiced,1
preserving,1
processive,1
proficient,1
rhetorical,1
same,1
scattered,1
searching,1
sensitive,1
sensory,1
special,1
spontaneous,1
stimulating,1
strict,1
structural,1
stylistic,1
stylus,1
surreal,1
sustained,1
thematic,1
timeless,1
tired,1
touching,1
unafraid,1
unbroken,1
uncharted,1
unclouded,1
understandable,1
unfinished,1
unforgettable,1
unheard,1
unresolved,1
unseeing,1
vibrant,1
visual,1
yellowed,1
