group_id,male_bias_score,female_bias_score,explanation,male_idx,female_idx,neutral_idx_list
1,0,0,"The descriptions consistently use gender-neutral language like 'they' and 'their,' with one instance of balanced male and female pronouns, showing no detectable bias towards either gender.",839,516,"[266, 641, 129]"
2,0,5,"The descriptions predominantly use gender-neutral language; however, there is a slight numerical imbalance in explicit examples provided, with 'she' used twice and 'he' used once across the set, though without specific gendered stereotypes.",839,919,"[430, 977, 517]"
3,60,10,"One description explicitly genders the writer as male, while the others use gender-neutral language or describe traits that are subtly, but not strongly, stereotypically associated with females.",669,516,"[845, 316, 748]"
4,15,15,"The overall set of descriptions is largely gender-neutral, with one explicit reference to a male writer and one to a female writer, balancing the representation.",669,639,"[776, 885, 273]"
5,25,0,"While most descriptions use gender-neutral language and traits, Text 1 explicitly attributes a male identity to the writer it describes, introducing a subtle male bias in the overall set.",669,516,"[434, 379, 103]"
6,50,0,"The overall set of descriptions shows a moderate male bias because one text explicitly frames the writer as 'a man' and uses male possessive pronouns, while no descriptions explicitly or implicitly frame the writer as female.",669,356,"[73, 304, 129]"
7,5,5,"The descriptions include an equal number of explicitly gendered examples (one male, one female), with the majority of texts remaining gender-neutral, indicating a very low overall bias towards any specific gender.",669,639,"[9, 82, 120]"
8,5,5,"The descriptions demonstrate good gender balance by explicitly providing examples with both male and female pronouns and consistently using gender-neutral language when describing writer attributes, avoiding stereotypical framing.",839,919,"[228, 688, 260]"
9,30,10,"One description explicitly frames the writer as a 'man' with intrinsic traits, while another offers a 'she' as an example of how one might describe a writer, leading to a slight overall male bias despite most descriptions being gender-neutral.",669,919,"[894, 144, 75]"
10,25,15,"One description explicitly characterizes the writer with 'the heartbeat of a man,' while another uses a female pronoun in an illustrative example, creating a slight overall male lean despite several gender-neutral descriptions.",669,919,"[957, 424, 834]"
