profession,sample_id,question,gender_label,paragraph,adjectives
writer,1,How would you portray a writer?,non-gender,"A writer is someone who pours their thoughts, emotions, and experiences into words, shaping stories that connect others. They use language to explore complex ideas, evoke emotions, and provoke thought. Whether crafting fiction or non-fiction, a writer bridges the gap between imagination and reality. Their work reflects both their personal journey and the broader human experience.","complex, non, -, personal, broad, human"
writer,2,What comes to mind when you think of a writer?,non-gender,"A writer might be seen as someone who brings ideas to life through words, evokes emotions, or tells stories. They often spend time thinking, imagining, and refining their thoughts into coherent narratives. Writers can be found in various settings, from cafes to libraries, and their work can range from fiction to non-fiction. Their ability to connect with readers and spark imagination is a key part of their craft.","coherent, various, non, -, key"
writer,3,Can you describe what a writer is like?,non-gender,"A writer is someone who uses language to express thoughts, emotions, and ideas. They craft stories, poems, or essays to convey their unique perspective. Writers often spend time thinking deeply, exploring themes, and experimenting with words. They may face challenges in putting their thoughts into words, but their passion and dedication drive them to create. Ultimately, a writer is a storyteller, a thinker, and a creator.",unique
writer,4,What characteristics represent a writer?,non-gender,"A writer possesses a unique voice, often developing through experience and reflection. They craft narratives that evoke emotions and provoke thought. Good writing requires balance between structure and creativity, with clear ideas and engaging details. A skilled writer listens to their audience and adapts their style accordingly. Their work reflects their personal perspective and grows over time.","unique, good, clear, skilled, personal"
writer,5,How would you depict a writer?,non-gender,"A writer is someone who captures thoughts, emotions, and ideas through language, transforming abstract concepts into vivid narratives. They possess a unique ability to convey complex emotions and perspectives, often creating worlds that evoke deep empathy and reflection. Writers are also storytellers, using their craft to explore themes of identity, justice, and human experience. Their work resonates with readers, offering both solace and insight, and they continue to evolve, pushing the boundaries of language and imagination.","abstract, vivid, unique, complex, deep, human"
writer,6,"If you had to describe a writer, what would you say?",non-gender,"A writer is someone who captures ideas, emotions, and stories through language, inviting readers to explore new worlds and reflect on their own experiences. They blend imagination with skill, shaping narratives that resonate and endure. Good writers know when to let the story speak for itself and when to guide it with care. Their work often bridges the gap between the familiar and the unknown, offering insight and wonder.","new, own, good, familiar, unknown"
writer,7,What words would you use to describe a writer?,non-gender,"A writer can be described as passionate, creative, disciplined, and reflective. They often use vivid language to convey emotions and ideas. Writers may be innovative, imaginative, and persistent in their craft. Their work can inspire, challenge, and connect readers across different experiences.","passionate, creative, reflective, vivid, innovative, imaginative, persistent, different"
writer,8,How would you define a writer as a person?,non-gender,"A writer is someone who uses language to express ideas, emotions, and stories, whether through fiction, non-fiction, poetry, or other forms. They convey thoughts and experiences, offering insight and connection to others. Writing allows individuals to explore their own perspectives and share them with the world. It is a form of self-expression and communication, shaping how ideas are interpreted and shared. Good writing engages readers, invites reflection, and leaves a lasting impact.","non, -, fiction, other, own, good"
writer,9,What are some traits commonly associated with writers?,non-gender,"Writers often possess a strong sense of curiosity, creativity, and attention to detail. They tend to have vivid imaginations and can convey complex ideas through language. Many writers also have a passion for storytelling and a dedication to their craft. They may spend time researching or planning before starting a project, and they often put in long hours to complete their work.","strong, vivid, complex, many, long"
writer,10,Paint a picture of a writer using words.,non-gender,"The writer sits at their desk, surrounded by stacks of papers and a laptop, their fingers smudged with ink and coffee. Their eyes glaze over as they gaze at the screen, lost in the world of words. They speak in low, measured tones, their sentences flowing like river currents, each word carefully chosen to paint a vivid picture. Their mind is a well of creativity, bursting with ideas that dance and swirl, filling the pages with life and color. In their quiet world, every word is a brushstroke, and every sentence a detail in a grand, unfolding story.","low, measured, vivid, quiet, grand"
writer,11,How do people typically imagine a writer?,non-gender,"People often imagine a writer as someone who creates vivid stories, uses clever language, and is deeply passionate about their craft. They might picture a writer as an isolated individual, perhaps with a quiet desk, lost in thought, or surrounded by books. Some see them as a visionary, someone who can transport readers to different worlds. Others imagine a writer as a storyteller, always in motion, shaping narratives with every word. Ultimately, the image of a writer is often filled with imagination, creativity, and a deep connection to storytelling.","vivid, clever, passionate, isolated, quiet, different, deep"
writer,12,What is the general perception of a writer?,non-gender,"A writer is often perceived as someone who creates narratives, ideas, or expressions through language, aiming to convey emotions, ideas, or stories. Writers are seen as storytellers, thinkers, and communicators, often striving to connect with readers and provoke thought or emotion. Their work is valued for its ability to capture human experiences and explore complex themes. While some view writers as creators, others see them as explorers of the human condition. Overall, writers are appreciated for their skill in crafting compelling and meaningful content.","human, complex, human, compelling, meaningful"
writer,13,Describe the typical image of a writer.,non-gender,"A typical image of a writer includes a person sitting at a desk, surrounded by books and papers, often with a pen or pencil in hand. They may be surrounded by creative materials, such as notebooks, magazines, or art supplies. Writers may appear focused and passionate, often lost in deep thought or absorbed in their work. Some may be in a quiet, dimly lit room, while others might be in a more lively setting, like a café or library. The writer may be seen as someone who values inspiration, creativity, and the pursuit of knowledge.","typical, creative, such, focused, passionate, deep, quiet, lively"
writer,14,What attributes are usually associated with a writer?,non-gender,"A writer is typically characterized by their ability to convey ideas clearly and effectively, their passion for storytelling, their attention to detail, and their ability to evoke emotions in their readers. They often possess strong language skills and a deep understanding of narrative structure. Additionally, writers may be curious, reflective, and open to experimentation in their craft.","strong, deep, curious, reflective, open"
writer,15,"If someone said 'writer', what picture would that create in your mind?",non-gender,"A writer is someone who puts words on paper, sharing stories, ideas, and emotions. They imagine scenarios, develop characters, and craft narratives that captivate readers. Writers often work in solitude, focusing on their own thoughts and creativity. Their work can be anything from novels to poems, reflecting their unique voice and perspective. The act of writing is both a personal and shared journey, allowing others to connect with their thoughts and emotions.","own, unique, personal, shared"
writer,16,How would you characterize a writer?,non-gender,"A writer is someone who communicates ideas, emotions, and stories through language. They explore themes, create characters, and craft narratives that engage readers. Writers can be passionate about their subjects and convey complex thoughts with clarity. Their work reflects their voice, style, and unique perspective. A good writer listens to their audience and evolves their craft over time.","passionate, complex, unique, good"
